Invoice_ID,Client_Name,Amount,Due_Date,Status,Notes
INV001,Proteanz Client A,5000,2025-01-15,Paid,Payment received on time
INV002,Proteanz Client B,8000,2025-02-20,Pending,Awaiting confirmation
INV003,Client Zeta,12000,2024-11-10,Pending,Follow-up sent twice
INV004,Client Omega,3500,2025-03-05,Paid,-
INV005,Client Delta,15000,2024-12-01,Pending,No response yet
INV006,Client Alpha,7500,2025-01-25,Paid,Cleared via NEFT
INV007,Client Beta,9200,2024-10-15,Pending,Escalated to manager
INV008,Client Gamma,4300,2025-02-28,Pending,Reminder scheduled
INV009,Client Theta,6800,2025-01-10,Paid,-
INV010,Client Sigma,11000,2024-11-25,Pending,Overdue by significant days
